"year_month,""month_of_release"",""passenger_type"",""direction"",""sex"",""age"",""estimate"",""standard_error"",""status"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",316,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",340,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",357,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",421,2,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",396,3,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",382,3,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",434,8,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",618,15,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",511,13,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",549,16,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",498,16,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",30,3,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",49,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",97,6,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",104,8,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",139,11,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""0-4 years"",144,13,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",331,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",366,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",431,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",477,2,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",475,3,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",455,4,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",458,8,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",621,19,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",589,15,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",551,15,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",538,16,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",29,3,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",56,5,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",91,6,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",125,8,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",195,13,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""0-4 years"",153,12,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",200,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",244,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",437,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",342,1,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",267,3,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",242,4,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",263,6,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",533,10,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",723,19,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",329,9,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",277,9,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",21,3,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",22,3,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",43,4,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",71,6,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",91,7,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""10-14 years"",87,8,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",226,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",287,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",445,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",308,1,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",304,2,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",274,3,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",238,5,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",516,10,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",778,19,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",346,8,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",260,8,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",21,3,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",33,3,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",54,4,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",73,6,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",101,8,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""10-14 years"",101,9,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",216,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",309,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",693,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",363,2,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",356,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",363,5,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",318,9,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",472,13,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",1014,39,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",646,20,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",298,13,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",12,2,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",27,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",40,5,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",56,6,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",50,6,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""15-19 years"",47,6,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",249,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",363,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",710,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",398,2,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",451,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",436,5,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",474,9,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",571,13,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",975,28,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",788,20,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",377,15,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",18,3,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",36,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",36,4,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",62,6,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",48,6,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""15-19 years"",49,6,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",560,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",718,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",993,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",754,4,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",914,7,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",955,7,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",1017,21,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",1027,23,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",1077,29,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",1491,30,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",1302,38,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",68,6,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",43,5,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",86,7,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",97,8,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",119,10,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""20-24 years"",105,10,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",547,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",651,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",1164,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",825,3,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",870,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",1144,10,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",1403,27,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",914,21,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",984,25,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",2022,44,""Provisional"""
